,YYYYMMDD,DR,RH,RHX
176,19300626,1.0,2.0,2.0
177,19300627,64.0,475.0,229.0
178,19300628,0.0,0.0,0.0
179,19300629,0.0,0.0,0.0
180,19300630,0.0,0.0,0.0
181,19300701,0.0,1.0,1.0
182,19300702,13.0,139.0,100.0
183,19300703,10.0,46.0,33.0
184,19300704,11.0,108.0,102.0
185,19300705,3.0,2.0,2.0
186,19300706,0.0,0.0,0.0
187,19300707,0.0,0.0,0.0
188,19300708,0.0,0.0,0.0
189,19300709,0.0,1.0,1.0
190,19300710,0.0,0.0,0.0
191,19300711,26.0,124.0,51.0
192,19300712,132.0,448.0,116.0
193,19300713,0.0,0.0,0.0
194,19300714,25.0,78.0,41.0
195,19300715,8.0,33.0,33.0
196,19300716,47.0,91.0,33.0
197,19300717,28.0,26.0,12.0
198,19300718,9.0,31.0,28.0
199,19300719,39.0,195.0,88.0
200,19300720,4.0,64.0,64.0
201,19300721,30.0,56.0,23.0
202,19300722,93.0,131.0,22.0
203,19300723,71.0,95.0,29.0
204,19300724,2.0,1.0,1.0
205,19300725,2.0,2.0,2.0
206,19300726,1.0,4.0,4.0
207,19300727,0.0,0.0,0.0
208,19300728,12.0,75.0,72.0
209,19300729,26.0,75.0,19.0
210,19300730,56.0,91.0,24.0
211,19300731,3.0,3.0,2.0
212,19300801,0.0,0.0,0.0
213,19300802,0.0,1.0,1.0
214,19300803,12.0,36.0,24.0
215,19300804,46.0,52.0,16.0
216,19300805,1.0,3.0,2.0
217,19300806,26.0,83.0,46.0
218,19300807,5.0,32.0,19.0
219,19300808,3.0,33.0,30.0
220,19300809,5.0,17.0,15.0
221,19300810,28.0,69.0,46.0
222,19300811,83.0,55.0,13.0
223,19300812,3.0,24.0,21.0
224,19300813,56.0,144.0,35.0
225,19300814,91.0,203.0,46.0
226,19300815,45.0,82.0,18.0
227,19300816,4.0,6.0,4.0
228,19300817,0.0,0.0,0.0
229,19300818,0.0,0.0,0.0
230,19300819,0.0,0.0,0.0
231,19300820,0.0,0.0,0.0
232,19300821,21.0,136.0,98.0
233,19300822,0.0,0.0,0.0
234,19300823,18.0,19.0,11.0
235,19300824,0.0,0.0,0.0
236,19300825,0.0,0.0,0.0
237,19300826,0.0,0.0,0.0
238,19300827,0.0,0.0,0.0
239,19300828,0.0,0.0,0.0
240,19300829,0.0,0.0,0.0
241,19300830,0.0,0.0,0.0
242,19300831,12.0,7.0,4.0
243,19300901,7.0,3.0,3.0
244,19300902,0.0,0.0,0.0
245,19300903,0.0,1.0,1.0
246,19300904,0.0,0.0,0.0
247,19300905,0.0,0.0,0.0
248,19300906,0.0,0.0,0.0
249,19300907,28.0,54.0,25.0
250,19300908,9.0,28.0,24.0
251,19300909,0.0,0.0,0.0
252,19300910,0.0,0.0,0.0
253,19300911,0.0,0.0,0.0
254,19300912,50.0,61.0,26.0
255,19300913,28.0,32.0,10.0
256,19300914,20.0,83.0,49.0
257,19300915,25.0,55.0,19.0
258,19300916,4.0,12.0,7.0
259,19300917,33.0,25.0,10.0
260,19300918,38.0,155.0,93.0
261,19300919,45.0,103.0,36.0
262,19300920,4.0,5.0,5.0
263,19300921,63.0,240.0,44.0
264,19300922,12.0,13.0,6.0
265,19300923,9.0,11.0,5.0
266,19300924,22.0,28.0,12.0
267,19300925,17.0,39.0,24.0
268,19300926,43.0,82.0,24.0
269,19300927,0.0,0.0,0.0
270,19300928,84.0,100.0,26.0
271,19300929,0.0,0.0,0.0
272,19300930,7.0,34.0,20.0
273,19301001,0.0,1.0,1.0
274,19301002,0.0,1.0,1.0
275,19301003,0.0,0.0,0.0
276,19301004,62.0,89.0,20.0
277,19301005,58.0,52.0,9.0
278,19301006,129.0,316.0,33.0
279,19301007,75.0,90.0,18.0
280,19301008,40.0,59.0,17.0
281,19301009,25.0,76.0,47.0
282,19301010,0.0,0.0,0.0
283,19301011,16.0,28.0,16.0
284,19301012,1.0,3.0,1.0
285,19301013,6.0,6.0,5.0
286,19301014,0.0,1.0,1.0
287,19301015,0.0,0.0,0.0
288,19301016,0.0,0.0,0.0
289,19301017,0.0,1.0,1.0
290,19301018,6.0,8.0,8.0
291,19301019,22.0,14.0,4.0
292,19301020,2.0,3.0,2.0
293,19301021,0.0,1.0,1.0
294,19301022,12.0,23.0,10.0
295,19301023,39.0,33.0,8.0
296,19301024,33.0,79.0,17.0
297,19301025,33.0,54.0,13.0
298,19301026,6.0,24.0,10.0
299,19301027,3.0,12.0,11.0
300,19301028,10.0,5.0,3.0
301,19301029,10.0,19.0,8.0
302,19301030,11.0,11.0,6.0
303,19301031,3.0,6.0,3.0
304,19301101,93.0,196.0,69.0
305,19301102,68.0,192.0,39.0
306,19301103,83.0,145.0,35.0
307,19301104,20.0,47.0,14.0
308,19301105,12.0,19.0,7.0
309,19301106,0.0,0.0,0.0
310,19301107,0.0,0.0,0.0
311,19301108,73.0,33.0,5.0
312,19301109,0.0,1.0,1.0
313,19301110,0.0,0.0,0.0
314,19301111,10.0,15.0,4.0
315,19301112,3.0,8.0,3.0
316,19301113,0.0,0.0,0.0
317,19301114,0.0,0.0,0.0
318,19301115,62.0,128.0,38.0
319,19301116,8.0,9.0,4.0
320,19301117,13.0,21.0,7.0
321,19301118,0.0,0.0,0.0
322,19301119,93.0,103.0,22.0
323,19301120,68.0,83.0,25.0
324,19301121,58.0,92.0,30.0
325,19301122,31.0,151.0,71.0
326,19301123,23.0,62.0,46.0
327,19301124,41.0,51.0,24.0
328,19301125,4.0,6.0,4.0
329,19301126,18.0,24.0,10.0
330,19301127,3.0,2.0,1.0
331,19301128,8.0,9.0,3.0
332,19301129,12.0,22.0,15.0
333,19301130,0.0,0.0,0.0
334,19301201,0.0,1.0,1.0
335,19301202,0.0,2.0,1.0
336,19301203,0.0,0.0,0.0
337,19301204,0.0,0.0,0.0
338,19301205,0.0,0.0,0.0
339,19301206,0.0,0.0,0.0
340,19301207,8.0,4.0,3.0
